// NBA 2K27 career-mode progression tuning - named key/value export.
//
// Dataset : nba2k27-builder-dataset
// Game    : NBA 2K27 (NBA 2K HQ, com.VisualConcepts.MyNBASherpa)
// Tuning  : live_version 993560759169487438, api_version 202750199
// Captured: 2026-08-22
//
// This is the ONLY artifact in the dataset that names the builder's tuning
// values. The binary blob the app ships (tuning/progression_tuning.zlib) is
// keyless - it addresses values by offset and contains no field names at all.
//
// Format: one `key,value` pair per line. `//` marks a comment. The leading
// DataPath line is the export header, not data.
//
// Key families that drive the builder are documented in the dataset README.
// Everything below this banner is the export exactly as shipped.
//
DataPath|FranchiseTuning_PostRelease.CareerMode.Progression.Attributes.,NewValue

// //////////////////////////////////////////////////////////////
// Attribute Pricing
// //////////////////////////////////////////////////////////////

// The sum of these amounts will be the price every user has to pay to fully upgrade their player's attributes.
VCRequiredToBuyRangeOfAttributes[0],40000
VCRequiredToBuyRangeOfAttributes[1],150000
VCRequiredToBuyRangeOfAttributes[2],185000


// //////////////////////////////////////////////////////////////
// Stamina Attribute Progression
// //////////////////////////////////////////////////////////////
BaseStaminaValue,85
NumStaminaPointsEarnedPerGymWorkout,2

// //////////////////////////////////////////////////////////////
//
// //////////////////////////////////////////////////////////////

AssociatedAttributeConstraints[Agility][HEIGHT_05][0].AssociatedAttribute,Speed
AssociatedAttributeConstraints[Agility][HEIGHT_05][0].MaxDelta,10
AssociatedAttributeConstraints[Agility][HEIGHT_05][1].AssociatedAttribute,ReboundDefense
AssociatedAttributeConstraints[Agility][HEIGHT_05][1].MaxDelta,50
AssociatedAttributeConstraints[Agility][HEIGHT_05][2].AssociatedAttribute,Steal
AssociatedAttributeConstraints[Agility][HEIGHT_05][2].MaxDelta,45
AssociatedAttributeConstraints[Agility][HEIGHT_06][0].AssociatedAttribute,Speed
AssociatedAttributeConstraints[Agility][HEIGHT_06][0].MaxDelta,10
AssociatedAttributeConstraints[Agility][HEIGHT_06][1].AssociatedAttribute,ReboundDefense
AssociatedAttributeConstraints[Agility][HEIGHT_06][1].MaxDelta,50
AssociatedAttributeConstraints[Agility][HEIGHT_06][2].AssociatedAttribute,Steal
AssociatedAttributeConstraints[Agility][HEIGHT_06][2].MaxDelta,45
AssociatedAttributeConstraints[Agility][HEIGHT_07][0].AssociatedAttribute,Speed
AssociatedAttributeConstraints[Agility][HEIGHT_07][0].MaxDelta,10
AssociatedAttributeConstraints[Agility][HEIGHT_07][1].AssociatedAttribute,ReboundDefense
AssociatedAttributeConstraints[Agility][HEIGHT_07][1].MaxDelta,50
AssociatedAttributeConstraints[Agility][HEIGHT_07][2].AssociatedAttribute,Steal
AssociatedAttributeConstraints[Agility][HEIGHT_07][2].MaxDelta,45
AssociatedAttributeConstraints[Agility][HEIGHT_08][0].AssociatedAttribute,Speed
AssociatedAttributeConstraints[Agility][HEIGHT_08][0].MaxDelta,10
AssociatedAttributeConstraints[Agility][HEIGHT_08][1].AssociatedAttribute,ReboundDefense
AssociatedAttributeConstraints[Agility][HEIGHT_08][1].MaxDelta,50
AssociatedAttributeConstraints[Agility][HEIGHT_08][2].AssociatedAttribute,Steal
